"Fecha.de.la.actividad","Tipo.de.actividad","Tiempo.transcurrido","Distancia","Ritmo.cardiaco.máximo","Esfuerzo.Relativo","Equipamiento.de.la.actividad","Tiempo.en.movimiento","Velocidad.máxima","Velocidad.promedio","Desnivel.positivo","Pendiente.máxima","Pendiente.promedio","Cadencia.máx.","Cadencia.promedio","Ritmo.cardiaco.promedio","Calorías","Tiempo.de.descanso"
2019-04-21,"Bicicleta",3H 22M 16S,97.98,179,64,"Giant TCR Composite 2",2H 59M 8S,86.039998626709,32.8180126535169,797.900024414062,7.40000009536743,0.0146962916478514,NA,NA,120,2163,23M 8S
2019-04-28,"Bicicleta",3H 56M 24S,114.38,180,60,"Giant TCR Composite 2",3H 37M 42S,67.679997253418,31.524115755627,871.190002441406,10.3000001907349,-0.0209813322871923,NA,NA,117,2556,18M 42S
2019-05-01,"Bicicleta",4H 40M 13S,135.35,171,NA,"Giant TCR Composite 2",4H 19M 46S,95.039998626709,31.2626716283844,1220.03381347656,20.7999992370605,-0.0097522120922803,NA,NA,139,2228,20M 27S
2019-05-05,"Bicicleta",4H 13M 55S,115.24,171,NA,"Giant TCR Composite 2",3H 52M 22S,120.959994506836,29.7564194520155,1369.63391113281,12.3999996185303,-0.0115402806550264,NA,NA,139,1993,21M 33S
2019-05-12,"Bicicleta",4H 2M 3S,120.08,171,NA,"Giant TCR Composite 2",3H 43M 14S,73.439998626709,32.2747498880096,973.377807617188,13.3999996185303,-0.0109923966228961,NA,NA,139,1914,18M 49S
2019-05-15,"Bicicleta",2H 58M 38S,92.92,176,82,"Giant TCR Composite 2",2H 56M 30S,72.360001373291,31.5875354107649,812.02001953125,9.69999980926514,0.0126992193982005,NA,NA,139,2121,2M 8S
2019-05-19,"Bicicleta",4H 25M 26S,121.93,188,79,"Giant TCR Composite 2",4H 8M 47S,76.679997253418,29.4063107121324,1261.31994628906,13.8999996185303,-0.0104976799339056,NA,NA,139,2732,16M 39S
2019-05-26,"Bicicleta",4H 12M 14S,122.15,171,NA,"Giant TCR Composite 2",3H 55M 58S,64.439998626709,31.0594716767905,1074.6953125,13.3000001907349,-0.019975259900093,NA,NA,139,2023,16M 16S
2019-06-02,"Bicicleta",4H 24M 5S,121.62,139,32,"Giant TCR Composite 2",3H 58M 3S,70.560001373291,30.6540642722117,1108.44287109375,9.39999961853027,-0.0109349554404616,NA,NA,139,2726,26M 2S
2019-06-09,"Bicicleta",4H 36M 43S,126.59,171,NA,"Giant TCR Composite 2",4H 10M 26S,107.279997253418,30.3290296818847,1228.31616210938,13.6999998092651,-0.0103483935818076,NA,NA,139,2148,26M 17S
2019-04-07,"Bicicleta",3H 17M 45S,90.76,171,NA,"Giant TCR Composite 2",3H 3M 1S,125.640005493164,29.7546671523541,756.561096191406,11.3999996185303,-0.0146528705954551,NA,NA,139,1569,14M 44S
2019-06-23,"Bicicleta",5H 0M 55S,140.19,216,140,"Giant TCR Composite 2",4H 23M 38S,76.679997253418,31.905677076748,1333.09997558594,13.5,-0.009415591135621,NA,NA,139,3109,37M 17S
2019-06-30,"Bicicleta",3H 55M 1S,107.47,171,NA,"Giant TCR Composite 2",3H 25M 18S,64.8,31.4086702386751,891.587158203125,13.1000003814697,-0.0126543762162327,NA,NA,139,1760,29M 43S
2019-07-03,"Bicicleta",3H 16M 42S,101.55,171,NA,"Giant TCR Composite 2",3H 16M 1S,66.239998626709,31.084091488819,851.331298828125,11.3999996185303,0,NA,NA,139,1681,41S
2019-07-09,"Bicicleta",1H 20M 22S,37.25,171,NA,"Orbea Satellite",1H 19M 58S,46.439998626709,27.9491454772822,176.190673828125,14.8999996185303,0.0002683972998056,NA,NA,139,685,24S
2019-07-10,"Bicicleta",2H 21M 17S,61.12,171,NA,"Orbea Satellite",2H 20M 21S,41.4,26.1289633060207,285.874969482422,17.1000003814697,-0.0001636037341086,NA,NA,139,1203,56S
2019-07-11,"Bicicleta",2H 4M 19S,54.2,171,NA,"Orbea Satellite",2H 3M 52S,37.0800006866455,26.254036598493,147.846862792969,7.80000019073486,0,NA,NA,139,1062,27S
2019-07-20,"Caminata",2H 24M 59S,9.58,127,9,"",2H 9M 6S,10.8,4.45236250968242,17,17.6000003814697,0.0396684557199478,78,51.274658203125,71,495,15M 53S
2019-07-22,"Bicicleta",2H 4M 13S,53.28,172,126,"Orbea Satellite",2H 2M 50S,40.3199993133545,26.0255088195387,179,22.1000003814697,0.0007507169502787,NA,NA,151,1460,1M 23S
2019-07-23,"Bicicleta",1H 59M 59S,46.9,173,89,"Orbea Satellite",1H 56M 35S,43.560001373291,24.1372408863474,234,43.2000007629395,0.0089537724852561,NA,NA,145,1280,3M 24S
2019-07-24,"Bicicleta",2H 6M 0S,53.36,180,91,"Orbea Satellite",2H 5M 38S,63.360001373291,25.4836826744495,194,20.7000007629395,-0.0007495507597923,NA,NA,145,1400,22S
2019-07-26,"Bicicleta",3H 8M 45S,49.04,171,52,"Orbea Satellite",2H 15M 14S,41.760001373291,21.7579492235642,287,47,0.19900943338871,NA,NA,127,1135,53M 31S
2019-07-30,"Bicicleta",2H 21M 55S,62.52,170,107,"Orbea Satellite",2H 19M 50S,39.960001373291,26.8262216924911,156,45.5999984741211,0,NA,NA,146,1521,2M 5S
2019-08-01,"Bicicleta",2H 26M 15S,62.75,168,104,"Orbea Satellite",2H 23M 23S,39.6,26.258281994653,148,48.5,0.0019123079255223,NA,NA,145,1533,2M 52S
2019-08-04,"Bicicleta",2H 9M 44S,57.93,174,111,"Orbea Satellite",2H 9M 10S,41.760001373291,26.9094193548387,144,21.2999992370605,0.006559029687196,NA,NA,148,1180,34S
2019-08-07,"Bicicleta",2H 21M 53S,62.64,171,97,"Orbea Satellite",2H 20M 35S,42.839998626709,26.7343212803794,148,20.7000007629395,-0.0070241424255073,NA,NA,143,1169,1M 18S
2019-08-09,"Bicicleta",2H 26M 31S,63.5,174,88,"Orbea Satellite",2H 25M 24S,47.160001373291,26.2035763411279,165,17.1000003814697,0.0050391559489071,NA,NA,142,1189,1M 7S
2019-08-11,"Entrenamiento con pesas",1H 59M 29S,0,124,10,"",1H 59M 29S,0,0,NA,0,0,NA,NA,80,240,0S
2019-08-12,"Entrenamiento con pesas",1H 9M 23S,0,118,6,"",1H 9M 23S,0,0,NA,0,0,NA,NA,80,138,0S
2019-08-12,"Bicicleta virtual",1H 10M 1S,37.6789722069091,129,13,"Giant TCR Composite 2",1H 10M 1S,0,32.2885741358898,NA,0,0,NA,NA,116,403,0S
2015-06-06,"Bicicleta",3H 3M 43S,52.31,171,NA,"Giant TCR Composite 2",1H 58M 20S,51.4800006866455,26.5233802816901,364.714294433594,5.69999980926514,-0.0007646662998013,NA,NA,139,1356,1H 5M 23S
2015-08-16,"Bicicleta",1H 1M 38S,14.03,171,NA,"Giant TCR Composite 2",56M 46S,25.9199993133545,14.8291250733999,740.719970703125,16.8999996185303,5.1770339012146,NA,NA,139,332,4M 52S
2015-09-12,"Bicicleta",2H 3M 53S,37.79,171,NA,"Giant TCR Composite 2",1H 34M 52S,54,23.9009135628953,244.918563842773,6.19999980926514,0,NA,NA,139,960,29M 1S
2016-07-24,"Bicicleta",48M 22S,14.33,171,NA,"Orbea Satellite",39M 43S,31.3199993133545,21.6483424255141,35.5999984741211,4.5,0.184237897396088,NA,NA,139,338,8M 39S
2016-08-03,"Bicicleta",1H 41M 4S,38.34,171,NA,"Giant TCR Composite 2",1H 33M 8S,51.1199993133545,24.7000715819613,251.638336181641,6.19999980926514,-0.0013038727920502,NA,NA,139,987,7M 56S
2015-10-10,"Bicicleta",1H 36M 36S,36.46,171,NA,"Giant TCR Composite 2",1H 27M 30S,49.6800006866455,25.0011428571429,242.335830688477,7.30000019073486,-0.0010968550341203,NA,NA,139,937,9M 6S
2015-06-28,"Bicicleta",4H 29M 12S,67.11,171,NA,"Orbea Satellite",3H 25M 27S,41.039998626709,19.5989291798491,653.510009765625,17.2000007629395,0.288618981838226,NA,NA,139,1775,1H 3M 45S
2015-09-05,"Bicicleta",3H 29M 58S,95.48,171,NA,"Giant TCR Composite 2",3H 12M 33S,61.560001373291,29.7522721371072,835.840026855469,14.8000001907349,-0.013405317440629,NA,NA,139,2536,17M 25S
2015-08-30,"Bicicleta",4H 10M 41S,98.04,171,NA,"Giant TCR Composite 2",3H 52M 0S,61.920002746582,25.3551724137931,1030.07995605469,24,-0.0130555760115385,NA,NA,139,2519,18M 41S
2015-09-20,"Bicicleta",3H 29M 15S,90.95,171,NA,"Giant TCR Composite 2",3H 19M 27S,73.8,27.36024066182,838.753356933594,8.89999961853027,-0.0148430922999978,NA,NA,139,2372,9M 48S
2016-10-02,"Bicicleta",3H 12M 2S,81.24,171,NA,"Giant TCR Composite 2",3H 9M 47S,64.079997253418,25.6840256432774,603.830017089844,9.69999980926514,0.0027079288847744,NA,NA,139,2104,2M 15S
2015-09-19,"Bicicleta",3H 7M 55S,84.68,171,NA,"Giant TCR Composite 2",2H 46M 57S,62.279997253418,30.4330637915544,447.459991455078,9.5,-0.0165322441607713,NA,NA,139,2318,20M 58S
