"Fecha.de.la.actividad","Tipo.de.actividad","Tiempo.transcurrido","Distancia","Ritmo.cardiaco.máximo","Esfuerzo.Relativo","Equipamiento.de.la.actividad","Tiempo.en.movimiento","Velocidad.máxima","Velocidad.promedio","Desnivel.positivo","Pendiente.máxima","Pendiente.promedio","Cadencia.máx.","Cadencia.promedio","Ritmo.cardiaco.promedio","Vatios.máx.","Vatios.promedio","Calorías"
2019-05-15,"Bicicleta",10718,92.92,176,82,"Giant TCR Composite 2",10590,72.360001373291,NA,812.02001953125,9.69999980926514,0.0126992193982005,NA,NA,140,NA,NA,2121
2019-05-19,"Bicicleta",15926,121.93,188,79,"Giant TCR Composite 2",14927,76.679997253418,NA,1261.31994628906,13.8999996185303,-0.0104976799339056,NA,NA,140,NA,NA,2732
2019-05-26,"Bicicleta",15134,122.15,170,NA,"Giant TCR Composite 2",14158,64.439998626709,NA,1074.6953125,13.3000001907349,-0.019975259900093,NA,NA,140,NA,NA,44551507
2019-06-02,"Bicicleta",15845,121.62,139,32,"Giant TCR Composite 2",14283,70.560001373291,NA,1108.44287109375,9.39999961853027,-0.0109349554404616,NA,NA,140,NA,NA,2726
2019-06-09,"Bicicleta",16603,126.59,170,NA,"Giant TCR Composite 2",15026,107.279997253418,NA,1228.31616210938,13.6999998092651,-0.0103483935818076,NA,NA,140,NA,NA,47282875
2019-04-07,"Bicicleta",11865,90.76,170,NA,"Giant TCR Composite 2",10981,125.640005493164,NA,756.561096191406,11.3999996185303,-0.0146528705954551,NA,NA,140,NA,NA,34554323
2019-06-23,"Bicicleta",18055,140.19,216,140,"Giant TCR Composite 2",15818,76.679997253418,NA,1333.09997558594,13.5,-0.009415591135621,NA,NA,140,NA,NA,3109
2019-06-30,"Bicicleta",14101,107.47,170,NA,"Giant TCR Composite 2",12318,64.8,NA,891.587158203125,13.1000003814697,-0.0126543762162327,NA,NA,140,NA,NA,38761511
2019-07-03,"Bicicleta",11802,101.55,170,NA,"Giant TCR Composite 2",11761,66.239998626709,NA,851.331298828125,11.3999996185303,0,NA,NA,140,NA,NA,37008778
2019-07-09,"Bicicleta",4822,37.25,170,NA,"Orbea Satellite",4798,46.439998626709,NA,176.190673828125,14.8999996185303,0.0002683972998056,NA,NA,140,NA,NA,15098045
2019-07-10,"Bicicleta",8477,61.12,170,NA,"Orbea Satellite",8421,41.4,NA,285.874969482422,17.1000003814697,-0.0001636037341086,NA,NA,140,NA,NA,26498675
2019-07-11,"Bicicleta",7459,54.2,170,NA,"Orbea Satellite",7432,37.0800006866455,NA,147.846862792969,7.80000019073486,0,NA,NA,140,NA,NA,23386552
2019-07-20,"Caminata",8699,9.58,127,9,"",7746,10.8,NA,17,17.6000003814697,0.0396684557199478,78,51.274658203125,71,NA,NA,495
2019-07-22,"Bicicleta",7453,53.28,172,126,"Orbea Satellite",7370,40.3199993133545,NA,179,22.1000003814697,0.0007507169502787,NA,NA,151,NA,NA,1460
2019-07-23,"Bicicleta",7199,46.9,173,89,"Orbea Satellite",6995,43.560001373291,NA,234,43.2000007629395,0.0089537724852561,NA,NA,145,NA,NA,1280
2019-07-24,"Bicicleta",7560,53.36,180,91,"Orbea Satellite",7538,63.360001373291,NA,194,20.7000007629395,-0.0007495507597923,NA,NA,145,NA,NA,1400
2019-07-26,"Bicicleta",11325,49.04,171,52,"Orbea Satellite",8114,41.760001373291,NA,287,47,0.19900943338871,NA,NA,127,NA,NA,1135
